г. Санкт-Петербург, пр-кт. Славы, д. 28, лит. А	1965
г. Санкт-Петербург, пр-кт. Славы, д. 30, к. 4, лит. А	1965
г. Санкт-Петербург, пр-кт. Славы, д. 38, лит. А	1967
г. Санкт-Петербург, пр-кт. Славы, д. 40, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Софийская, д. 25, лит. А	1979
г. Санкт-Петербург, ул. Софийская, д. 29, лит. А	1969
г. Санкт-Петербург, ул. Софийская, д. 35, к. 2, лит. А	1967
г. Санкт-Петербург, ул. Софийская, д. 35, к. 8, лит. А	1967
г. Санкт-Петербург, ул. Софийская, д. 37, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Софийская, д. 37, к. 4, лит. А	1969
г. Санкт-Петербург, ул. Софийская, д. 38, к. 2, лит. А	2009
г. Санкт-Петербург, ул. Софийская, д. 39, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Софийская, д. 41, к. 2, лит. А	1967
г. Санкт-Петербург, ул. Софийская, д. 43, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Софийская, д. 43, к. 4, лит. А	1966
г. Санкт-Петербург, ул. Софийская, д. 45, к. 1, лит. А	1966
г. Санкт-Петербург, ул. Софийская, д. 45, к. 2, лит. А	1970
г. Санкт-Петербург, ул. Софийская, д. 53, лит. А	1967
г. Санкт-Петербург, ул. Турку, д. 7, лит. А	1971
г. Санкт-Петербург, ул. Турку, д. 8, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Турку, д. 8, к. 2, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 8, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 8, к. 4, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 8, к. 5, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 9, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Турку, д. 9, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Турку, д. 9, к. 5, лит. А	1971
г. Санкт-Петербург, ул. Турку, д. 10, к. 1, лит. А	1970
г. Санкт-Петербург, ул. Турку, д. 10, к. 2, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 12, к. 2, лит. А	1969
г. Санкт-Петербург, ул. Турку, д. 12, к. 4, лит. А	1970
г. Санкт-Петербург, ул. Турку, д. 12, к. 5, лит. А	1971
г. Санкт-Петербург, ул. Турку, д. 12, к. 6, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 15, к. 1, лит. А	1970
г. Санкт-Петербург, ул. Турку, д. 15, к. 2, лит. А	1991
г. Санкт-Петербург, ул. Турку, д. 19, к. 1, лит. А	1969
г. Санкт-Петербург, ул. Турку, д. 20, к. 1, лит. А	1972
г. Санкт-Петербург, ул. Турку, д. 22, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Турку, д. 22, к. 2, лит. А	1970
г. Санкт-Петербург, ул. Турку, д. 23, к. 1, лит. А	1971
г. Санкт-Петербург, ул. Турку, д. 24, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Турку, д. 28, к. 1, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 28, к. 2, лит. А	1966
г. Санкт-Петербург, ул. Турку, д. 28, к. 3, лит. А	1967
г. Санкт-Петербург, ул. Турку, д. 28, к. 5, лит. А	1970
г. Санкт-Петербург, ул. Турку, д. 32, к. 1, лит. А	1967
г. Санкт-Петербург, тер. Фарфоровский пост, д. 2, лит. А	1959
